Onset, Resp, Crit?, Acc
0.54705786705,0,False,1
2.53057789803,0,False,1
4.53078699112,0,False,1
6.53033590317,0,True,0
8.53059792519,0,True,0
10.5306367874,0,False,1
12.530577898,0,False,1
14.5306808949,0,False,1
16.5303618908,0,False,1
18.530589819,0,False,1
20.5454339981,0,False,1
22.5307497978,0,False,1
24.5307409763,0,False,1
26.5308349133,0,True,0
28.529848814,0,False,1
30.5310559273,0,False,1
32.5302419662,0,False,1
34.5306138992,0,False,1
36.5306518078,0,True,0
38.5304038525,0,False,1
40.530602932,0,False,1
42.5305638313,0,False,1
44.5305697918,0,False,1
46.5301809311,0,True,0
48.5305678844,0,False,1
50.5299818516,0,False,1
52.5305638313,0,False,1
54.5307869911,0,False,1
56.5303440094,0,False,1
58.5303809643,0,True,0
60.5305759907,0,False,1
62.530548811,0,True,0
64.5303778648,0,False,1
66.5305128098,0,False,1
68.5303089619,0,False,1
70.5304989815,0,True,0
72.5304977894,0,False,1
74.5301477909,0,False,1
76.5304977894,0,False,1
78.5304658413,0,False,1
80.5304830074,0,False,1
82.5303919315,0,False,1
84.5304818153,0,False,1
86.5304558277,0,True,0
88.5304429531,0,False,1
90.5304307938,0,False,1
92.5302548409,0,True,0
94.5304319859,0,False,1
96.5300188065,0,False,1
98.530066967,0,False,1
100.530591011,0,False,1
102.530365944,0,False,1
104.530360937,0,False,1
106.530208826,0,False,1
108.53055501,0,False,1
110.530010939,0,False,1
112.530179024,0,True,0
114.530164957,0,False,1
116.530210018,0,True,0
118.529843807,0,False,1
120.530118942,0,False,1
122.530161858,0,False,1
124.530143023,0,False,1
126.530313969,0,True,0
128.530314922,0,True,0
130.530303955,0,False,1
132.530149937,0,False,1
134.530125856,0,False,1
136.529981852,0,False,1
138.530256987,0,False,1
140.53014493,0,False,1
142.53011179,0,True,0
144.53032589,0,True,0
146.530632019,0,False,1
148.530042887,0,False,1
150.530254841,0,False,1
152.53015995,0,False,1
154.52983284,0,False,1
156.530576944,0,False,1
158.530385971,0,False,1
160.530196905,0,False,1
162.529946804,0,False,1
164.53013587,0,True,0
166.530184984,0,False,1
168.529963017,0,False,1
170.530164003,0,False,1
172.529928923,0,False,1
174.530192852,0,False,1
176.530313969,0,False,1
178.529979944,0,True,0
180.53014183,0,False,1
182.530117989,0,True,0
184.530171871,0,True,0
186.530107021,0,False,1
188.530100822,0,False,1
190.530100822,0,False,1
192.530094862,0,False,1
194.530083895,0,False,1
196.530086994,0,False,1
198.53007102,0,False,1
200.530032873,0,False,1
202.530072927,0,True,0
204.530250788,0,True,0
206.529956818,0,False,1
208.530032873,0,False,1
210.529850006,0,False,1
212.530035973,0,False,1
214.530045986,0,False,1
216.530103922,0,False,1
218.53012681,0,False,1
220.530212879,0,False,1
222.530005932,0,True,0
224.530332804,0,False,1
226.530027866,0,False,1
228.529971838,0,False,1
230.529963017,0,False,1
232.529960871,0,True,0
234.529942989,0,False,1
236.52994895,0,False,1
238.529941797,0,False,1
240.530012846,0,False,1
242.529947996,0,True,0
244.529918909,0,True,0
246.529908895,0,False,1
248.530092955,0,False,1
250.529848814,0,False,1
252.530080795,0,False,1
254.529887915,0,False,1
256.529912949,0,False,1
258.530077934,0,False,1
260.529848814,0,False,1
262.530035019,0,False,1
264.529805899,0,False,1
266.529833794,0,False,1
268.530627012,0,True,0
270.529903889,0,False,1
272.529824972,0,False,1
274.529891968,0,False,1
276.52975297,0,True,0
278.529911995,0,False,1
280.529852867,0,False,1
282.529799938,0,False,1
284.529780865,0,False,1
286.529770851,0,False,1
288.530622959,0,True,0
290.529750824,0,True,0
292.529750824,0,False,1
294.529828787,0,False,1
296.529819012,0,False,1
298.529754877,0,False,1
300.530049801,0,False,1
302.529835939,0,False,1
304.529830933,0,False,1
306.530016899,0,True,0
308.530020952,0,False,1
310.530011892,0,False,1
312.529844999,0,False,1
314.529795885,0,False,1
316.529807806,0,False,1
318.529785872,0,True,0
320.529806852,0,False,1
322.530226946,0,False,1
324.530538797,0,True,0
326.529943943,0,False,1
328.528320789,0,False,1
330.529688835,0,False,1
332.529933929,0,False,1
334.529672861,0,False,1
336.529712915,0,False,1
338.530082941,0,True,0
340.530146837,0,False,1
342.530008793,0,False,1
344.529561996,0,True,0
346.529145956,0,False,1
348.529255867,0,False,1
350.52849102,0,False,1
352.529567003,0,False,1
354.52947402,0,False,1
356.529519796,0,False,1
358.529433012,0,True,0
360.529599905,0,False,1
362.529513836,0,True,0
364.529681921,0,False,1
366.529433012,0,False,1
368.52894187,0,False,1
370.529453993,0,False,1
372.529527903,0,False,1
374.529488802,0,False,1
376.529450893,0,True,0
378.52946496,0,False,1
380.529503822,0,False,1
382.529465914,0,False,1
384.5296278,0,False,1
386.528868914,0,False,1
388.52938199,0,False,1
390.529307842,0,False,1
392.529418945,0,True,0
394.529320002,0,True,0
396.529363871,0,False,1
398.529470921,0,False,1
400.52936697,0,False,1
402.529394865,0,False,1
404.52935791,0,False,1
406.529358864,0,True,0
408.529362917,0,False,1
410.52935195,0,False,1
412.529332876,0,True,0
414.529340982,0,False,1
416.529337883,0,False,1
418.52915287,0,False,1
