Onset, Resp, Crit?, Acc
0.54900598526,0,False,1
1.51370716095,0,False,1
2.51367497444,0,False,1
3.52540898323,0,False,1
4.51156902313,0,True,0
5.51795506477,0,False,1
6.51067113876,0,True,0
7.53706502914,0,False,1
8.53010416031,0,False,1
9.53592205048,0,False,1
10.5222561359,0,False,1
11.5216610432,0,False,1
12.5168299675,0,False,1
13.5413911343,0,True,0
14.5070371628,0,False,1
15.5065550804,0,False,1
16.5063741207,0,False,1
17.5056431293,0,True,0
18.5319199562,0,False,1
19.5131249428,0,False,1
20.544451952,0,False,1
21.5305559635,0,True,0
22.5167379379,0,False,1
23.5163891315,0,False,1
24.5158281326,0,False,1
25.5154809952,0,False,1
26.5148870945,0,False,1
27.5481891632,0,False,1
28.5141561031,0,True,0
29.5136699677,0,False,1
30.5267181396,0,False,1
31.512827158,0,False,1
32.525673151,0,False,1
33.5117509365,0,False,1
34.5246911049,0,False,1
35.524474144,0,False,1
36.5237901211,0,False,1
37.5244121552,0,True,0
38.5364069939,0,True,0
39.5225200653,0,False,1
40.5220661163,0,False,1
41.5216741562,0,False,1
42.5211961269,0,True,0
43.5206520557,0,False,1
44.5335841179,0,False,1
45.5331020355,0,False,1
46.5059440136,0,True,0
47.5323300362,0,False,1
48.5316951275,0,False,1
49.5313899517,0,False,1
50.5308330059,0,False,1
51.5436589718,0,True,0
52.5435061455,0,False,1
53.5427880287,0,False,1
54.5424730778,0,True,0
55.5419700146,0,False,1
56.5148079395,0,False,1
57.514480114,0,False,1
58.5138931274,0,False,1
59.5136351585,0,False,1
60.5130500793,0,False,1
61.525867939,0,False,1
62.5122189522,0,False,1
63.5252699852,0,True,0
64.5246560574,0,True,0
65.5106999874,0,False,1
66.5237121582,0,False,1
67.5231580734,0,False,1
68.5235030651,0,False,1
69.5356049538,0,False,1
70.5353729725,0,False,1
71.5283529758,0,True,0
72.5284340382,0,False,1
73.5137529373,0,False,1
74.5335540771,0,False,1
75.5329630375,0,False,1
76.5058009624,0,True,0
77.5321731567,0,False,1
78.5316369534,0,False,1
79.5311670303,0,False,1
80.517439127,0,False,1
81.5436069965,0,False,1
82.5432469845,0,True,0
83.5426931381,0,False,1
84.5422101021,0,False,1
85.5416600704,0,False,1
86.5146450996,0,False,1
87.5142469406,0,False,1
88.5136611462,0,True,0
89.513502121,0,False,1
90.5263710022,0,False,1
91.5124759674,0,False,1
92.512057066,0,False,1
93.5115699768,0,False,1
94.5110650063,0,False,1
95.5109331608,0,False,1
96.5235359669,0,False,1
97.5363490582,0,True,0
98.5360310078,0,False,1
99.5355610847,0,True,0
100.535124063,0,False,1
101.522516966,0,False,1
102.534109116,0,True,0
103.527390003,0,False,1
104.506705999,0,False,1
105.506040096,0,False,1
106.505653143,0,False,1
107.545890093,0,False,1
108.544687986,0,False,1
109.544455051,0,True,0
110.523987055,0,False,1
111.516662121,0,False,1
112.542919159,0,False,1
113.515748024,0,False,1
114.515495062,0,False,1
115.51493001,0,False,1
116.514636993,0,False,1
117.513958931,0,False,1
118.513705015,0,True,0
119.513211012,0,True,0
120.512665033,0,False,1
121.525623083,0,False,1
122.51180315,0,False,1
123.524683952,0,False,1
124.510915995,0,False,1
125.523710012,0,False,1
126.523410082,0,True,0
127.522999048,0,False,1
128.535655975,0,True,0
129.522015095,0,False,1
130.534891129,0,False,1
131.521654129,0,False,1
132.520642996,0,False,1
133.533548117,0,False,1
134.533364058,0,False,1
135.512800932,0,False,1
136.50565815,0,False,1
137.545176983,0,True,0
138.531525135,0,True,0
139.530697107,0,False,1
140.544902086,0,False,1
141.543252945,0,False,1
142.51614809,0,False,1
143.515733957,0,False,1
144.515526056,0,True,0
145.514796972,0,False,1
146.514384985,0,False,1
147.514007092,0,True,0
148.509335041,0,False,1
149.512974024,0,False,1
150.525804043,0,False,1
151.512155056,0,False,1
152.511608124,0,True,0
153.511196136,0,False,1
154.510681152,0,False,1
155.537004948,0,False,1
156.523348093,0,False,1
157.536098003,0,False,1
158.535644054,0,True,0
159.521726131,0,False,1
160.534732103,0,False,1
161.521016121,0,True,0
162.533857107,0,False,1
163.520704031,0,False,1
164.513342142,0,False,1
165.532541037,0,False,1
166.505445004,0,True,0
167.531585932,0,False,1
168.544631004,0,False,1
169.517398119,0,False,1
170.516904116,0,False,1
171.516628981,0,False,1
172.543966055,0,True,0
173.542191982,0,False,1
174.515095949,0,False,1
175.514605999,0,False,1
176.514379025,0,False,1
177.51366806,0,False,1
178.526689053,0,True,0
179.512791157,0,False,1
180.525689125,0,False,1
181.511947155,0,False,1
182.511678934,0,False,1
183.524500132,0,True,0
184.523962021,0,True,0
