Onset, Resp, Crit?, Acc
0.551334142685,0,False,1
2.51038002968,0,False,1
4.50943303108,0,False,1
6.53530907631,0,True,0
8.52100110054,0,False,1
10.5200760365,0,False,1
12.5325520039,0,True,0
14.5318109989,0,False,1
16.5307919979,0,False,1
18.5299110413,0,False,1
20.5037760735,0,False,1
22.5280570984,0,True,0
24.5271520615,0,False,1
26.5395891666,0,False,1
28.5388572216,0,False,1
30.5110621452,0,False,1
32.510174036,0,True,0
34.5227570534,0,False,1
36.5217790604,0,False,1
38.5074930191,0,False,1
40.5199761391,0,False,1
42.5058341026,0,True,0
44.5314750671,0,False,1
46.5172770023,0,False,1
48.5297811031,0,True,0
50.5420641899,0,False,1
52.52790308,0,False,1
54.540348053,0,False,1
56.5145061016,0,False,1
58.5387051105,0,False,1
60.5109741688,0,False,1
62.5100190639,0,False,1
64.5225520134,0,False,1
66.5219080448,0,False,1
68.5208230019,0,False,1
70.5330600739,0,True,0
72.5189239979,0,False,1
74.5313851833,0,False,1
76.5305411816,0,True,0
78.5295670033,0,False,1
80.5419621468,0,False,1
82.527695179,0,True,0
84.5136902332,0,False,1
86.5136461258,0,False,1
88.5135731697,0,True,0
90.5108580589,0,False,1
92.5100371838,0,False,1
94.5298922062,0,False,1
96.5214650631,0,False,1
98.5206332207,0,False,1
100.519829035,0,False,1
102.518902063,0,False,1
104.517934084,0,False,1
106.530310154,0,True,0
108.529336214,0,False,1
110.528587103,0,False,1
112.527566195,0,False,1
114.540054083,0,False,1
116.53915906,0,True,0
118.538167,0,False,1
120.512657166,0,False,1
122.50992012,0,False,1
124.522153139,0,True,0
126.508001089,0,False,1
128.507085085,0,False,1
130.519692183,0,False,1
132.518653154,0,True,0
134.517883062,0,False,1
136.530132055,0,False,1
138.52927804,0,False,1
140.541784048,0,False,1
142.527486086,0,False,1
144.539984226,0,True,0
146.538989067,0,False,1
148.511475086,0,False,1
150.511761189,0,False,1
152.536336184,0,False,1
154.508799076,0,False,1
156.507967234,0,True,0
158.506891012,0,False,1
160.505990028,0,False,1
162.518476009,0,False,1
164.531008005,0,True,0
166.530037165,0,False,1
168.515884161,0,False,1
170.541483164,0,False,1
172.527366161,0,False,1
174.539842129,0,False,1
176.538925171,0,True,0
178.537933111,0,False,1
180.510886192,0,False,1
